id,SCOREMARGIN,Unnamed: 0,action_type,defender_distance,defender_id,defender_name,defender_x_loc,defender_y_loc,event_type,game_date,game_event_id,game_id,grid_type,homeTeam,htm,loc_x,loc_y,minutes_remaining,period,player_id,player_name,season_type,seconds_remaining,shot_attempted_flag,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,time,vtm
17,10,17,Driving Finger Roll Layup Shot,3.175136177945759,201967.0,Dante Cunningham,14.26955,42.26422,Made Shot,20151027,277,21500003,Shot Chart Detail,1.0,GSW,11,40,0,2,201939,Stephen Curry,Regular,0,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:2:0:00,NOP
18,18,18,Driving Finger Roll Layup Shot,3.3395037135029497,201569.0,Eric Gordon,80.43063,27.96848,Made Shot,20151027,302,21500003,Shot Chart Detail,1.0,GSW,80,24,10,3,201939,Stephen Curry,Regular,7,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:3:10:07,NOP
19,15,19,Cutting Finger Roll Layup Shot,7.010174430846914,201967.0,Dante Cunningham,80.80124,17.53697,Made Shot,20151027,333,21500003,Shot Chart Detail,1.0,GSW,85,22,7,3,201939,Stephen Curry,Regular,35,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:3:7:35,NOP
20,14,20,Jump Shot,12.807310313106331,201967.0,Dante Cunningham,96.70213,28.16482,Missed Shot,20151027,339,21500003,Shot Chart Detail,1.0,GSW,84,23,7,3,201939,Stephen Curry,Regular,14,1,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:3:7:14,NOP
21,15,21,Jump Shot,10.222797538697517,201583.0,Ryan Anderson,64.2238,41.18841,Missed Shot,20151027,364,21500003,Shot Chart Detail,1.0,GSW,72,47,5,3,201939,Stephen Curry,Regular,19,1,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:3:5:19,NOP
22,15,22,Jump Shot,26.961346318618816,203076.0,Anthony Davis,66.59785,22.97144,Missed Shot,20151027,366,21500003,Shot Chart Detail,1.0,GSW,93,28,5,3,201939,Stephen Curry,Regular,13,1,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:3:5:13,NOP
23,17,23,Jump Shot,2.1525947446976623,201583.0,Ryan Anderson,36.00718,20.77076,Made Shot,20151027,395,21500003,Shot Chart Detail,1.0,GSW,34,19,3,3,201939,Stephen Curry,Regular,23,1,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500003:3:3:23,NOP
24,17,24,Floating Jump shot,7.058970763872023,202397.0,Ish Smith,80.23479,17.45513,Missed Shot,20151027,524,21500003,Shot Chart Detail,1.0,GSW,81,10,5,4,201939,Stephen Curry,Regular,21,1,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500003:4:5:21,NOP
25,15,25,Driving Layup Shot,10.338623524014213,2570.0,Kendrick Perkins,89.98213,24.71156,Missed Shot,20151027,550,21500003,Shot Chart Detail,1.0,GSW,90,35,2,4,201939,Stephen Curry,Regular,30,1,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500003:4:2:30,NOP
26,-2,41,Jump Shot,6.306566477418594,203076.0,Anthony Davis,45.4462,42.84866,Made Shot,20151031,45,21500035,Shot Chart Detail,0.0,NOP,40,46,7,1,201939,Stephen Curry,Regular,42,1,31,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:1:7:42,GSW
27,TIE,42,Jump Shot,5.907822280849349,203076.0,Anthony Davis,65.13292,21.5157,Missed Shot,20151031,58,21500035,Shot Chart Detail,0.0,NOP,66,27,6,1,201939,Stephen Curry,Regular,30,1,27,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:1:6:30,GSW
28,TIE,43,Jump Shot,16.209041571212655,201950.0,Jrue Holiday,54.99922,44.3328,Made Shot,20151031,63,21500035,Shot Chart Detail,0.0,NOP,46,30,6,1,201939,Stephen Curry,Regular,10,1,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500035:1:6:10,GSW
29,-2,44,Jump Shot,0.0,203076.0,Anthony Davis,59.22129,40.33775,Made Shot,20151031,101,21500035,Shot Chart Detail,0.0,NOP,59,40,4,1,201939,Stephen Curry,Regular,3,1,29,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:1:4:03,GSW
30,-5,45,Jump Shot,18.476125553635427,202397.0,Ish Smith,50.06512,44.49806,Missed Shot,20151031,123,21500035,Shot Chart Detail,0.0,NOP,33,37,2,1,201939,Stephen Curry,Regular,5,1,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:1:2:05,GSW
31,-5,46,Driving Bank shot,9.670058663239848,203076.0,Anthony Davis,35.7285,23.67007,Missed Shot,20151031,132,21500035,Shot Chart Detail,0.0,NOP,45,22,0,1,201939,Stephen Curry,Regular,53,1,10,0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612744,Golden State Warriors,0021500035:1:0:53,GSW
32,-2,47,Floating Jump shot,5.72215368602592,201962.0,Toney Douglas,83.45881,13.85869,Made Shot,20151031,208,21500035,Shot Chart Detail,0.0,NOP,80,18,6,2,201939,Stephen Curry,Regular,51,1,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612744,Golden State Warriors,0021500035:2:6:51,GSW
33,-5,48,Jump Shot,12.714638936006006,201583.0,Ryan Anderson,86.85003,29.10206,Missed Shot,20151031,256,21500035,Shot Chart Detail,0.0,NOP,90,41,3,2,201939,Stephen Curry,Regular,47,1,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612744,Golden State Warriors,0021500035:2:3:47,GSW
34,TIE,49,Jump Shot,10.625091043948753,201950.0,Jrue Holiday,50.97518,17.74056,Missed Shot,20151031,347,21500035,Shot Chart Detail,0.0,NOP,42,24,9,3,201939,Stephen Curry,Regular,53,1,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:9:53,GSW
35,TIE,50,Jump Shot,6.874738462407129,203076.0,Anthony Davis,44.26178,35.59163,Made Shot,20151031,351,21500035,Shot Chart Detail,0.0,NOP,51,36,9,3,201939,Stephen Curry,Regular,12,1,28,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:9:12,GSW
36,-5,51,Jump Shot,8.743413111874563,202337.0,Luke Babbitt,61.38196,44.63236,Made Shot,20151031,361,21500035,Shot Chart Detail,0.0,NOP,65,37,8,3,201939,Stephen Curry,Regular,5,1,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:8:05,GSW
37,-6,52,Jump Shot,5.1516169452415665,203076.0,Anthony Davis,43.97957,33.01918,Made Shot,20151031,363,21500035,Shot Chart Detail,0.0,NOP,40,36,7,3,201939,Stephen Curry,Regular,40,1,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612744,Golden State Warriors,0021500035:3:7:40,GSW
38,-9,53,Jump Shot,12.406070887065734,202087.0,Alonzo Gee,85.19462,4.6554,Made Shot,20151031,372,21500035,Shot Chart Detail,0.0,NOP,86,16,6,3,201939,Stephen Curry,Regular,30,1,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612744,Golden State Warriors,0021500035:3:6:30,GSW
39,-9,54,Jump Shot,11.323828435515965,201967.0,Dante Cunningham,85.44744,2.20292,Missed Shot,20151031,375,21500035,Shot Chart Detail,0.0,NOP,87,13,6,3,201939,Stephen Curry,Regular,15,1,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612744,Golden State Warriors,0021500035:3:6:15,GSW
40,-10,55,Running Finger Roll Layup Shot,4.900033742996065,201967.0,Dante Cunningham,-1.43858,21.9138,Made Shot,20151031,383,21500035,Shot Chart Detail,0.0,NOP,-3,26,5,3,201939,Stephen Curry,Regular,6,1,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612744,Golden State Warriors,0021500035:3:5:06,GSW
