203112,Quincy Acy
203101,Miles Plumlee
1626257,Salah Mejri
2207,Joe Johnson
201166,Aaron Brooks
201588,George Hill
203498,Shabazz Muhammad
203526,Raul Neto
201609,Goran Dragic
203081,Damian Lillard
203962,Josh Huestis
203477,Isaiah Canaan
202328,Greg Monroe
2617,Udonis Haslem
2754,Tony Allen
201980,Danny Green
2365,Chris Andersen
1626169,Stanley Johnson
203948,Johnny O'Bryant III
203468,CJ McCollum
203200,Justin Holiday
1626145,Tyus Jones
2733,Shaun Livingston
202688,Brandon Knight
1626143,Jahlil Okafor
203093,Terrence Jones
202334,Ed Davis
201145,Jeff Green
2736,Luol Deng
2744,Al Jefferson
1626172,Kevon Looney
200794,Paul Millsap
202087,Alonzo Gee
203077,Michael Kidd-Gilchrist
201600,Omer Asik
200751,Randy Foye
202332,Cole Aldrich
1626162,Kelly Oubre Jr.
203076,Anthony Davis
203086,Meyers Leonard
204020,Tyler Johnson
201572,Brook Lopez
203482,Kelly Olynyk
203080,Thomas Robinson
203937,Kyle Anderson
203496,Robert Covington
203991,Clint Capela
101109,Raymond Felton
201571,D.J. Augustin
2734,Devin Harris
202699,Tobias Harris
202700,Donatas Motiejunas
203516,James Ennis III
1626171,Bobby Portis
204001,Kristaps Porzingis
202329,Al-Farouq Aminu
203457,Nerlens Noel
1717,Dirk Nowitzki
203940,Adreian Payne
2403,Nene
201949,James Johnson
204028,Tarik Black
101139,CJ Miles
201582,Alexis Ajinca
202710,Jimmy Butler
201988,Patty Mills
201935,James Harden
202681,Kyrie Irving
201586,Serge Ibaka
201142,Kevin Durant
203953,Jabari Parker
201568,Danilo Gallinari
203484,Kentavious Caldwell-Pope
203461,Anthony Bennett
101106,Andrew Bogut
203914,Gary Harris
203487,Michael Carter-Williams
202711,Bojan Bogdanovic
2037,Jamal Crawford
201942,DeMar DeRozan
1626149,Montrezl Harrell
203124,Kyle O'Quinn
202714,Shelvin Mack
201150,Spencer Hawes
101141,Ersan Ilyasova
203895,Jordan McRae
1938,Manu Ginobili
202682,Derrick Williams
203105,Festus Ezeli
201144,Mike Conley
201587,Nicolas Batum
2544,LeBron James
203497,Rudy Gobert
1626199,Darrun Hilliard
2034,Mike Miller
1626166,Cameron Payne
201149,Joakim Noah
200752,Rudy Gay
201573,Jerryd Bayless
202704,Reggie Jackson
201954,Darren Collison
203909,KJ McDaniels
204456,T.J. McConnell
203145,Kent Bazemore
201579,Roy Hibbert
202331,Paul George
1626204,Larry Nance Jr.
1627293,Alex Stepheson
202703,Nikola Mirotic
101162,Marcin Gortat
1713,Vince Carter
201583,Ryan Anderson
2564,Boris Diaw
201936,Tyreke Evans
1626158,Richaun Holmes
201975,Jodie Meeks
1626170,Jerian Grant
2199,Tyson Chandler
203930,Sean Kilpatrick
201933,Blake Griffin
2592,James Jones
203095,Evan Fournier
